Species,Photo_ML_ID,Eye_Measurement_pixels,Bill_Length_Measurement_pixels,Bill_Depth_Measurement_pixels,AVONET_Bill_Length_mm,AVONET_Bill_Depth_mm,Eye_Size_in_mm_calculated_by_bill_length,Eye_Size_in_mm_Calculated_by_bill_depth,Eye_Size_in_mm_averaged,Bill_Ratio_photo,Bill_Ratio_specimen,Error_of_bill_ratio
Haliastur indus,382313501,191.64,329.14,312.117,24.4,17,14.21,10.44,12.32,1.05,1.44,-0.27
Haliastur indus,64586191,38.65,59.258,60,24.4,17,15.91,10.95,13.43,0.99,1.44,-0.31
Haliastur indus,622256906,56.36,93.405,98.287,24.4,17,14.72,9.75,12.24,0.95,1.44,-0.34
Haliastur indus,629833240,32.3,52.496,48.831,24.4,17,15.01,11.24,13.13,1.08,1.44,-0.25
Haliastur indus,305545971,37.12,62.482,69.289,24.4,17,14.5,9.11,11.8,0.9,1.44,-0.37
Haliastur indus,610248800,20.23,27.829,34.731,24.4,17,17.74,9.9,13.82,0.8,1.44,-0.44
Dicrurus aeneus,627099510,53.71,121.396,60.299,13.3,6.1,5.88,5.43,5.66,2.01,2.18,-0.08
Dicrurus aeneus,612618596,52.77,111.253,61.1,13.3,6.1,6.31,5.27,5.79,1.82,2.18,-0.16
Dicrurus aeneus,147469831,70.82,137.816,77.162,13.3,6.1,6.83,5.6,6.22,1.79,2.18,-0.18
Dicrurus aeneus,85684881,54.03,113.818,65.017,13.3,6.1,6.31,5.07,5.69,1.75,2.18,-0.2
Dicrurus aeneus,633218667,54.9,126.509,57.097,13.3,6.1,5.77,5.87,5.82,2.22,2.18,0.02
Dicrurus aeneus,556758491,94.15,203.796,117.085,13.3,6.1,6.14,4.91,5.52,1.74,2.18,-0.2
Dicrurus aeneus,534665851,48.61,140.656,85.428,13.3,6.1,4.6,3.47,4.03,1.65,2.18,-0.24
Dicrurus aeneus,214065711,61.02,122.403,70.401,13.3,6.1,6.63,5.29,5.96,1.74,2.18,-0.2
Dicrurus aeneus,636109211,55.67,83.301,60.67,13.3,6.1,8.89,5.6,7.24,1.37,2.18,-0.37
Dicrurus aeneus,627850220,42.5,88.318,49.473,13.3,6.1,6.4,5.24,5.82,1.79,2.18,-0.18
Dicrurus aeneus,622689112,58.52,133.613,63.097,13.3,6.1,5.83,5.66,5.74,2.12,2.18,-0.03
